                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.84037,                      1,                      1,                0.92415,             0.00023719,             0.00023719,             0.00023719
                      2,                0.12456,                      1,                      1,                0.90548,             0.00035758,             0.00035758,             0.00035758
                      3,                0.06397,                      1,                      1,                0.90549,             0.00036016,             0.00036016,             0.00036016
                      4,                0.04055,                      1,                      1,                 0.9049,             0.00018385,             0.00018385,             0.00018385
