                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.02975,                      1,                      1,                0.90506,             0.00023632,             0.00023632,             0.00023632
                      2,                0.01275,                      1,                      1,                0.90489,             0.00023953,             0.00023953,             0.00023953
